6,,,,,MS Word,MS Excel,Citavi,,Citavi,MS Excel,Good Reader (iPad),Dropbox,MS Word,Citavi,Good Reader,,Good Reader (iPad),MS Excel,Citavi,,,,,
7,,,,,FileMaker Pro,MS Word,DokuWiki,,FileMaker Pro,Adobe Bridge,MS Word,,DokuWiki,MS Word,,,FileMaker Pro,Adobe Bridge,,,LaTex,MS Word,,
14,,,,,MS Word,Citavi,,,Gnomon online,Annee philologique,,,,,,,MS Access,,,,MS Word,,,
21,,,,,Scapple,xMind,Mellel,Word,Word,Bookends,,,Mellel,Word,,,Mellel,Word,,,InDesign,Mellel,Word,
24,,,,,MS Word,,,,Bibliothekssoftware,Recherchetools von Datenbanken,,,MS Word,,,,,,,,,,,
27,Wordpress,Zotero,,,MS Word,TheBrain,,,Firefox,Zotero,Copernic Desktop Search,,MS Word,Zotero,TheBrain,,Zotero,MS Word,,,Wordpress,MS Word,,
28,,,,,MS Word,Corall Photopaint,MS Excell,HTML,MS Word,Firefox,,,MS Word,,,,MS Word,,,,,,,
29,,,,,MS Word,MS Excel,Citavi,Lexican,Mozilla Firefox,MS Word,MS Excel,Citavi,,,,,MS Word,MS Excel,Citavi,Lexican,MS Word,,,
30,,,,,MS WORD,Litlink,Acrobat Reader u.Ã¤. ,,MS Word,,,,Litlink ,MS Word,Acrobat Reader,PDF Expert 9,MS Word,MS Excel,Litlink,,MS Word,Acrobat Reader,,
33,MS Word,,,,MS Word,MS Excel,,,IrfanView,Photohop,Firefox,Thunderbird,s. o.,,,,s. o.,,,,MS Word,Adobe Illustrator,Adobe Photoshop,
37,,,,,Word,,,,Word,Berlin Text System,Firefox,,Berlin Text System,,,,Berlin Text System,,,,"Eigene Webseite, TLA",,,
41,coraw,,,,citavi,ms word,ms access,,,,,,citavi,ms access,,,citavi,,,,MS Word,,,
42,,,,,Microsoft Office,Google,,,Google,Bibliothekskataloge,,,Microsoft Office,,,,,,,,word,,,
45,,,,,ms word,openoffice,,,firefox,,,,,,,,,,,,,,,
46,,,,,word,excell,pp,,word,,,,,,,,zotero,,,,alfresco,,,
48,,,,,,,,,,,,,,,,,MS Word,,,,,,,
51,,,,,,,,,,,,,ms word,,,,ms word,,,,ms word,,,
52,,,,,MS Word,,,,MS Word,Mozilla Firefox,Litlink,,MS Word,,,,MS Word,Litlink,MS Access,,MS Word,LaTeX,,
57,,,,,Open Office /word,Citavi,,,Ub katalog,Mla Datenbank,Twitter,,,,,,Citavi,,,,Word,,,
58,,,,,Citavi,,,,Bibliothekskatalog,,,,,,,,,,,,,,,
59,,,,,citavi,endnote,Word,,,,,,,,,,Endnote,Word,,,,,,
60,,,,,Word,Ms One Note,Outlook,Citavi,,,,,Word,One Note,Outlook,Citavi,,,,,,,,
62,,,,,word,citavi,,,word,citavi,,,word,citavi,,,word,,,,word,,,
63,,,,,,,,,Open Office,,,,,,,,Open Office,,,,,,,
64,,,,,MS Word,Open Office Writer,,,Google,,,,OpenOffice,,,,OpenOffice,,,,,,,
66,,,,,Open office,,,,Firefox,,,,Open office,,,,Open office,Firefox,,,,,,
68,,,,,Internetbrowser,Word,Excellence,,Internetbrowser,Word,Excellence,Datenbanken,Internetbrowser,Word,Excellence,Datenbanken,Internetbrowser,Word,Excell,Citavi,Word,,,
69,,,,,Word,Adobe,Citavi,,Word,Adobe,Citavi,,Citavi,,,,,,,,,,,
72,,,,,,,,,Ms-word,Wikipedia,Deutsches digitales archiv,,,,,,,,,,Ms-word,Wikipedia,Deutsches digitales archiv,
74,,,,,Ms Word,Citavi,,,,,,,,,,,Ms word,,,,,,,
75,,,,,Ms Word,Ms excel,Ms powerpoint,,,,,,Ms word,,,,Ms word,Ms excel,My sql,,Ms word,,,
76,,,,,MS Word,Zotero,,,Bibliothekskatalog,KVK,,,,,,,Zotero,,,,,,,
77,,,,,Microsoft Office,citavi,Twitter,,Citavi,,,,,,,,Microsoft Word,,,,Microsoft Office,Adobe Suite,,
78,,,,,,,,,Digimagazine,Google Books,Excel,Word,Ms word,,,,,,,,,,,
85,,,,,Word,,,,,,,,,,,,,,,,MS Word,,,
86,,,,,Word,Citavi,Win Editor,Chrome,vPn,Chrome,Citavi,,Word,,,,,,,,Word,,,
87,,,,,Word,Excel,,,Excel,,,,Word,,,,,,,,Word,,,
88,,,,,wikipedia,,,,word,,,,word,,,,,,,,,,,
89,,,,,word,excel,,,firefox browser,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,Windows,Maxqda,,,,,,,,,,
91,,,,,word,,,,endnote,,,,word,,,,word,,,,word,,,
92,,,,,Word,Lidos,,,,,,,,,,,Lidos,,,,,,,
93,,,,,ms word,,,,,,,,,,,,,,,,,,,
94,,,,,MS Word,Citavi,,,Ms Word,Citavi,,,Ms Word,Citavi,,,Ms Word,Citavi,,,,,,
95,,,,,MS Word,,,,MS Word,Excel,,,MS Word,Excel,,,MS Word,Excel,,,MS Word,,,
97,,,,,Open/Libre Office,Jabref,,,Opera,Tellico,,,,,,,Jabref,Tellico,,,Open/Libre Office,Kile,,
98,,,,,Ms Word,,,,Ms word,,,,Ms word,,,,Ms word,,,,Ms word,,,
99,,,,,mindnote,word,pages,,end note,word,pages,excel,word,pages,endnote,excel,access,word,pages,endnote,acrobat,,,
100,,,,,Ms Word,Litlink,,,,,,,,,,,,,,,,,,
102,,,,,MS Word,MS Excel,MS Powerpoint,,,,,,MS Word,,,,,,,,,,,
117,,,,,Word,Mindmapping Tools,,,Citavi,,,,Word,,,,Citavi,,,,Word,,,
122,,,,,zotero,MS Word,Evernote,Omni Focus,Evernote,,,,zotero,MS Word,Omni Cloud,,zotero,MS Word,,,,,,
124,MS Excel,MS Word,MS Notes,Zotero,MS Word,MS Powerpoint,MS Excel,,MS Word,Zotero,Mendeley,Delicious,MS Word,MS Powerpoint,,,MS Word,Zotero,Excel,,MS Word,Adobe Indesign,Dreamweaver,
128,Zotero,,,,LibreOffice,Zotero,Gimp,GoogleDocs,Zotero,,,,,,,,LibreOffice,Redmine,QGIS,,LibreOffice,Gimp,,
132,,,,,Mindmanager,MS Word,Things,,Citavi,MS Word,Filemaker,,Mindmanager,MS Word,Citavi,,,,,,MS Word,,,
134,,,,,Word,Onenote,Excel,,Citavi,Onenote,Excel,,Citavi,Excel,Word,Access,Citavi,Word,Excel,,,,,
140,,,,,MS Word,Adobe Acrobat,Citavi,Abbyy Finereader,MS Word,Adobe Acrobat,Citavi,Abbyy Finereader,MS Word,Adobe Acrobat,Citavi,Abbyy Finereader,MS Word,Adobe Acrobat,Citavi,Abbyy Finereader,MS Word,Adobe Acrobat,Citavi,Abbyy Finereader
141,,,,,MS Word,,,,MS Word,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,Mozilla Firefox,EndNote,JabRef,,,,,,Texteditor (gedit),LaTeXeditor (texmaker),,,LaTeX editor (texmaker),,,
170,,,,,MS Word,MS Exel,ARCMap,MS Access,Mozilla Firefox,allegro-C,,,MS Word,MS Exel,ArcMap,MS Access,MS Access,MS Exel,ArcMap,AutoCAD,MS Word,Adobe Illustrator,Adobe Indesign,
177,,,,,MS Word,MS Access,Photoshop,,,,,,,,,,MS Word,MS Access,Photoshop,,,,,
197,,,,,Open Office,Redmine,,,Citavi,,,,Texmaker (LaTeX),,,,OpenOfficeCalc,,,,,,,
199,,,,,MS Word,MS Excel,MuseumPlus,,MS Excel,MuseumPlus,,,MS Word,MS Excel,,,MuseumPlus,,,,,,,
215,,,,,MS Word,MS Exel,,,MS Exel,,,,MS Word,,,,MS Word,MS Exel,,,In Design,,,
216,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,Word,Citavi,,,citavi,,,,Word,excel,,,word,excel,,,word,Illustrator,Photoshop,
223,,,,,R,LaTeX,Mozilla Firefox,Mozilla Thunderbird,,,,,R,QGIS,,,R,QGIS,,,R,LaTeX,,
230,Word,,,,Word,,,,,,,,,,,,Word,excel,access,,Word,,,
232,,,,,Evernote,,,,Citavi,Google Scholar,,,,,,,IPython,R,SQLite,,MS Word,Scrivener,,
244,,,,,MS Word,MS Excel,Outlook,,Internet Explorer/OPAC,,,,MS Word,,,,MS Word,MS Excel,,,MS Word,,,
252,word,excel,,,,,,,,,,,siehe oben,,,,excel,litlink,lidos,,word,,,
257,,,,,LibreOffice Writer,LibreOffice Calc,,,Zotero,Firefox,,,LibreOffice Writer,,,,IPython Notebook,R Studio,,,knitr,pandoc,LibreOffice Writer,Zotero
258,,,,,App iA Writer,App Index Card,App BigMind,,App Pages,MS Word,Pinterest,Datenbank LitLink,App Pages,MS Word,App Keynote,MS Powerpoint,LitLink,App Keynote,MS Word,,MS Word,Adobe Acrobat,,
260,,,,,MS Word,,,,,,,,MS Word,,,,MS Word,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,mind map,,,,citavi,online Kataloge,,,Excel,,,,word,,,,acrobat pro,,,
274,,,,,TeX,,,,,,,,,,,,,,,,TeX,,,
283,,,,,Word,excel,,,internetbrowser,,,,,,,,tustep,,,,tustep,,,
286,,,,,MS Word,Citavi,,,Citavi,,,,MS Word,,,,Citavi,Ms Word,TUSTEP,,TUSTEP,MS Word,,
290,,,,,,,,,,,,,,,,,,,,,,,,
291,TUSTEP,INDESIGN,,,WORD 2010,,,,Browser,,,,,,,,TUSTEP,,,,TUSTEP,,,
297,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,Word,Firefox,,,Allegro,Firefox,,,,,,,,,,,,,,
314,,,,,MS Access,Zoteri,,,zotero,,,,ms word,,,,ms access,ms powerpoint,,,ms word,,,
320,,,,,Mind Map Creator ,,,,,,,,,,,,Proterm ,,,,,,,
321,,,,,Word,Bilderverarbeitung,,,Google,,,,Word,,,,Word,,,,Word,,,
322,,,,,,,,,Mozilla Firefox,Zotero ,,,,,,,Excel,,,,LaTex,,,
323,,,,,Word,,,,,,,,Word,,,,Word,,,,,,,
rom61,lesen,schreiben,rechnen,,dfg,dgy,ygg,,beluga,jstor,,,beluga,,,,lesen,schreiben,rechnen,,lesen,schreiben,,
rom66,,,,,,,,,Word,,,,Word,,,,Word,,,,Word,,,
rom67,,,,,Word,Citav,,,,,,,,,,,,,,,,,,
rom68,,,,,Word,,,,Citavi,,,,Word,,,,,,,,,,,
rom69,,,,,,,,,,,,,,,,,,,,,,,,
rom70,,,,,Word,,,,Citavi,,,,,,,,,,,,Word,,,
rom71,,,,,,,,,Endnote,Zotero,,,Word,,,,,,,,,,,
rom72,,,,,Word (von Apple),,,,,,,,,,,,,,,,,,,
rom73,,,,,Textverarbeitung ,,,,Opac,,,,,,,,,,,,,,,
rom75,,,,,Word,,,,Endnote,,,,,,,,,,,,,,,
rom76,Google,,,,MS Word ,,,,Google ,,,,MS Word ,,,,,,,,,,,
rom77,,,,,Word,,,,,,,,Word,,,,Word,,,,Word,,,
rom78,,,,,Latex,Word,Excel,,,,,,Latex,Word,Excel,,Textstat,,,,Latex,Word,Excel,
rom79,,,,,Word,Citavi,,,Citavi,,,,,,,,,,,,Indesign,,,
